Symbol,Company,Sector,Industry,avg. ROI (%) - Max,avg. ROI (%) - 20 Years,avg. ROI (%) - 10 Years,avg. ROI (%) - 5 Years,avg. ROI (%) - 1 Year,avg. ROI (%) - 6 Months,R^2 - Max,R^2 - 20 Years,R^2 - 10 Years,R^2 - 5 Years,R^2 - 1 Year,R^2 - 6 Months,First Date,Last Date
MMM,3M Company,Industrials,Industrial Conglomerates,3.5679958627699015,3.8282270309469846,12.896264498078281,8.135568867443688,-16.163861580833117,-40.061232346723564,0.3691340004920551,0.35549159306227296,0.9151370352475416,0.5738070701875826,0.38753393889966614,0.5594331930699968,1998-01-02,2019-07-18
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0.6718802762457843,1.0242279471926574,1.7213411583947291,13.40936655415712,28.903831986620297,32.59202190801807,0.048510308936926656,0.10157666914010899,0.0523746871375933,0.6610208733507807,0.8355578126316798,0.626848520322783,1998-01-02,2019-07-18
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,13.162389063563328,13.162389063563328,13.162389063563328,11.347808670925508,-23.892693901816997,-21.354743038924628,0.7671248672479191,0.7671248672479191,0.7671248672479191,0.559030131439758,0.7910228825592525,0.4685973991186278,2013-01-02,2019-07-18
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,13.102890802184497,14.873965676492906,50.76148668796272,65.02069292270181,-38.90506327968073,-53.621817515025015,0.4577152302693275,0.4782059661583076,0.9408821030869603,0.8966046552830154,0.7752739068615998,0.7964959295700975,1998-01-02,2019-07-18
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,14.004926595485955,14.004926595485955,16.966486897073054,17.65178565118837,14.737583381824248,60.105565903460615,0.9589851779938833,0.9589851779938833,0.9793722592735735,0.9538433812492588,0.2720565447202581,0.9031652551176176,2001-07-19,2019-07-18
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,5.004179078986515,5.026190809358844,24.36333444591623,26.98292495873078,-47.92501293711976,8.565192988530978,0.29480153417085764,0.2542463954537457,0.8950897166814753,0.7054020314659488,0.6801430462801011,0.06714393403265606,1998-01-02,2019-07-18
ADBE,Adobe Systems Inc,Information Technology,Application Software,5.24987027695647,6.131114729972631,28.105965750154382,38.82299619198459,16.244458923710138,47.69011775240162,0.2422986004114488,0.2679910025976481,0.9232528357495084,0.9546408719684962,0.3156143343906973,0.8323999846904132,1998-01-02,2019-07-18
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,-6.479833810186264,-6.383724019940129,10.369435553712325,78.00828704200238,44.14722574400209,133.17583852439677,0.24493898772341993,0.2027363652228188,0.1542273961438464,0.8442622073517962,0.2931979839723414,0.844526249907575,1998-01-02,2019-07-18
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,9.36605151262253,9.36605151262253,14.462444650879824,-1.9721453184785909,0.8844778114236229,-9.969479783924573,0.6630386533210811,0.6630386533210811,0.7349834151958262,0.024797950233497623,0.002037945424648857,0.1068003039274934,2001-11-29,2019-07-18
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,-4.36022404557983,-2.91879568004888,0.8901585611779783,3.6098764627496616,33.69035101008582,-3.31823616443252,0.16170362931031823,0.07032076611513072,0.03510107874358692,0.10493969334871822,0.7146571505519121,0.012792883424657009,1998-01-02,2019-07-18
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,8.370065963073392,7.656772311248461,7.460298431415158,-10.934325856520122,-41.10019214694508,-41.96545848787216,0.7173083323620392,0.6593786784958534,0.3273874988372776,0.49363572755924984,0.7708348666046443,0.6100796939563102,1998-01-02,2019-07-18
AFL,AFLAC Inc,Financials,Life & Health Insurance,2.540205066402579,3.0369511733509658,3.460211448165418,-3.932641251622937,22.777834583523116,41.18817283066467,0.28045855505808737,0.3402424036576776,0.21736555444306382,0.08106983537968937,0.6535035088342791,0.8536052940303415,1998-01-02,2019-07-18
A,Agilent Technologies Inc,Health Care,Health Care Equipment,3.8716906605437584,3.8716906605437584,8.090485534979198,14.955085989460404,16.610629326750992,-18.412896302194536,0.2679587912949134,0.2679587912949134,0.6504521142286688,0.6782368256071529,0.34011127813308106,0.24839848017473354,1999-11-18,2019-07-18
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,7.8529088651039025,8.653502263524505,10.3545540018821,6.446830382493185,45.35454156444034,107.6692134604444,0.8505423586751947,0.9195495790660109,0.8960262980635766,0.5701715291843121,0.7298280617800148,0.9666077406152556,1998-01-02,2019-07-18
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,11.148070094000072,11.148070094000072,10.620175883376138,2.9227707395175884,11.113106726421652,57.297394325237526,0.31175867917198763,0.31175867917198763,0.642572388715539,0.06933004218572958,0.1337953043543546,0.8768094594067369,1999-10-29,2019-07-18
ALK,Alaska Air Group Inc,Industrials,Airlines,7.728802950530933,7.728802950530933,6.4905682791747354,1.2964323127202082,-8.477452702019706,1.5972895521305652,0.650185282048221,0.650185282048221,0.33999311578738023,0.011594715408225209,0.18222658110098844,0.0018770908842652423,2001-01-02,2019-07-18
ALB,Albemarle Corp,Materials,Specialty Chemicals,7.842638670369451,8.106619619813182,9.477414147154818,14.652830934728245,-32.90864209689176,-37.42551447673834,0.8070338643638028,0.7881986871939322,0.6319576791333665,0.4290135340939566,0.7034081631366969,0.519299427543816,1998-01-02,2019-07-18
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,6.244349264079863,5.779915319473727,8.938515095795374,12.117334540877401,23.529399494394276,31.373297094226025,0.6885975045697131,0.6184926778926307,0.8338602089290047,0.8545011518894237,0.6218434055384758,0.6808076131276624,1998-01-02,2019-07-18
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,13.352440471325778,12.610867578322239,10.55605502908592,-9.176231907423604,5.686954039031877,-3.0874753855861137,0.7501737309334287,0.6958468657822909,0.5052260869969033,0.6156826801202584,0.04051524760533731,0.006864849862606381,1998-01-02,2019-07-18
ALGN,Align Technology,Health Care,Health Care Supplies,23.36741489129812,23.36741489129812,37.931130092683944,56.217927740855835,-18.064571472788415,70.37975980119897,0.8370303789503191,0.8370303789503191,0.9432800683139253,0.9022849095799423,0.07778597929346331,0.48582920330604434,2001-01-30,2019-07-18
ALLE,Allegion,Industrials,Building Products,13.325732769689447,13.325732769689447,13.325732769689447,13.21380949972555,27.658207842545313,74.7321743859966,0.9218958217406015,0.9218958217406015,0.9218958217406015,0.9061947638572301,0.6138134647807258,0.9149288421727194,2013-11-18,2019-07-18
AGN,"Allergan, Plc",Health Care,Pharmaceuticals,10.596639963040433,12.36636557939943,20.6754660305956,-13.778141472085725,-28.708107246188085,0.6850451866186269,0.5818859668371961,0.6373640128185286,0.6327759917896439,0.7147691087840472,0.5340438261031222,0.00012722622161409625,1998-01-02,2019-07-18
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,17.399405372401255,17.399405372401255,14.903350929359105,-8.879945993411875,-44.2919149335824,-42.50090783318586,0.8776595160273886,0.8776595160273886,0.5846147031147088,0.5362170630425939,0.8493181111850031,0.7263432049803898,2001-06-15,2019-07-18
LNT,Alliant Energy Corp,Utilities,Electric Utilities,3.6182717194343628,4.16352695077622,2.967711552585972,-8.761045766537134,17.23084982479557,30.386688234236626,0.5078617053135848,0.5477544297337753,0.14388683663906465,0.39718063195357023,0.7410156205892922,0.8617288149261393,1998-01-02,2019-07-18
ALL,Allstate Corp,Financials,Property & Casualty Insurance,3.310561866594597,4.454004403803813,15.95671717088949,11.767380459721277,3.8704655483521533,35.12759548946616,0.2487466688843739,0.38737105386769655,0.9265615006323028,0.7730432293505201,0.026981638500699012,0.8126219565067041,1998-01-02,2019-07-18
GOOGL,Alphabet Inc Class A,Communication Services,Interactive Media & Services,9.465320179437908,9.465320179437908,8.024552759002823,19.494916731903423,-4.012279495128912,-3.2004123504865145,0.7131242328860417,0.7131242328860417,0.5938952176685439,0.9200385003278843,0.03914666142553591,0.010150169183590685,2004-08-19,2019-07-18
GOOG,Alphabet Inc Class C,Communication Services,Interactive Media & Services,19.39991797847156,19.39991797847156,19.39991797847156,20.017811745819756,-2.9876017693652,-1.821687691954832,0.9289708881467698,0.9289708881467698,0.9289708881467698,0.9255542370992716,0.021407772723568308,0.003234574088496922,2014-03-27,2019-07-18
MO,Altria Group Inc,Consumer Staples,Tobacco,0.957474512023726,1.2097069321233223,14.301414813750558,2.896203246883422,-19.272018768097166,-1.344707902600506,0.018238025809008573,0.02348936449516026,0.8593342189515557,0.08282785833171524,0.43559907127048847,0.0009622536232799517,1998-01-02,2019-07-18
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,20.3978363982251,25.560204925561834,34.191599678894846,48.423362734841206,2.3709819725405534,49.18549548378708,0.7144972703098078,0.8692497804937307,0.9660063491819169,0.9650561837915201,0.006469919426865478,0.7333292633359799,1998-01-02,2019-07-18
AMCR,Amcor plc,Materials,Paper Packaging,18.301469656974923,18.301469656974923,18.301469656974923,18.301469656974923,18.301469656974923,18.301469656974923,0.03956688794411467,0.03956688794411467,0.03956688794411467,0.03956688794411467,0.03956688794411467,0.03956688794411467,2019-06-11,2019-07-18
AEE,Ameren Corp,Utilities,Multi-Utilities,0.8643663479989572,0.9668220873200406,11.185012302517382,13.63861201233778,24.21327757551166,25.71849037397884,0.045010261550300856,0.04543321897302799,0.9652885643436455,0.9180702946285046,0.8850379247727028,0.8174721496861508,1998-01-02,2019-07-18
AAL,American Airlines Group,Industrials,Airlines,10.073874928215387,10.073874928215387,28.241932418065474,-2.753601288256635,-20.23933566647804,-19.734952030321907,0.18383680466630048,0.18383680466630048,0.7537228227771907,0.0610540912087324,0.48617623797160686,0.24359103453588213,2005-09-27,2019-07-18
AEP,American Electric Power,Utilities,Electric Utilities,3.07351199905066,3.9933363217624196,10.319718627498787,8.73108656527255,31.399851397570533,37.78147393902272,0.409088370309608,0.5546974622419393,0.9648436847157678,0.8106131376709989,0.9272728885693265,0.917670103290102,1998-01-02,2019-07-18
AXP,American Express Co,Financials,Consumer Finance,1.2620867720276818,2.901352046998773,10.683252834322921,8.649606251998577,20.189126930855238,57.83522859053469,0.03131259351625981,0.14894963851146026,0.7735649678415096,0.3816329680148275,0.5279069082477627,0.9448054360974242,1998-01-02,2019-07-18
AIG,American International Group,Financials,Property & Casualty Insurance,-3.650654856449531,-2.6714284398503207,7.666475263997818,-2.9180425449358838,-1.097279403012763,89.43472207729597,0.0840386330276034,0.03882166045486812,0.48940570888351176,0.13004167985195847,0.0007266451637889526,0.8769197522821592,1998-01-02,2019-07-18
AMT,American Tower Corp.,Real Estate,Specialized REITs,13.488378849982908,15.301237974251913,16.091887527924786,16.269078796117277,55.61041970678355,64.48017783567398,0.6401520434453054,0.6804696476272221,0.9650899707852141,0.8736195329624812,0.9367646511640609,0.8932275314385675,1998-02-27,2019-07-18
AWK,American Water Works Company Inc,Utilities,Water Utilities,18.04526839076064,18.04526839076064,18.602282999433516,16.938506497335947,39.363113465954584,61.58646072775116,0.9795704958450463,0.9795704958450463,0.9829628386080395,0.9102006729436034,0.8903153212707089,0.9336651583532538,2008-04-23,2019-07-18
